Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,WorkLifeBalance,,
41,Yes,Travel_Rarely,Sales,College,Life Sciences,Female,Junior Level,Sales Executive,Very High,Single,Yes,Excellent,Bad,,
49,No,Travel_Frequently,Research & Development,Below College,Life Sciences,Male,Junior Level,Research Scientist,Medium,Married,No,Outstanding,Better,,
37,Yes,Travel_Rarely,Research & Development,College,Other,Male,Entry Level,Laboratory Technician,High,Single,Yes,Excellent,Better,,
33,No,Travel_Frequently,Research & Development,Master,Life Sciences,Female,Entry Level,Research Scientist,High,Married,Yes,Excellent,Better,,
27,No,Travel_Rarely,Research & Development,Below College,Medical,Male,Entry Level,Laboratory Technician,Medium,Married,No,Excellent,Better,,
32,No,Travel_Frequently,Research & Development,College,Life Sciences,Male,Entry Level,Laboratory Technician,Very High,Single,No,Excellent,Good,,
59,No,Travel_Rarely,Research & Development,Bachelor,Medical,Female,Entry Level,Laboratory Technician,Low,Married,Yes,Outstanding,Good,,
30,No,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,Entry Level,Laboratory Technician,High,Divorced,No,Outstanding,Better,,    
38,No,Travel_Frequently,Research & Development,Bachelor,Life Sciences,Male,Mid Level,Manufacturing Director,High,Single,No,Outstanding,Better,,
36,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Junior Level,Healthcare Representative,High,Married,No,Excellent,Good,,
35,No,Travel_Rarely,Research & Development,Bachelor,Medical,Male,Entry Level,Laboratory Technician,Medium,Married,No,Excellent,Better,,
29,No,Travel_Rarely,Research & Development,College,Life Sciences,Female,Junior Level,Laboratory Technician,High,Single,Yes,Excellent,Better,,
31,No,Travel_Rarely,Research & Development,Below College,Life Sciences,Male,Entry Level,Research Scientist,High,Divorced,No,Excellent,Good,,
34,No,Travel_Rarely,Research & Development,College,Medical,Male,Entry Level,Laboratory Technician,Very High,Divorced,No,Excellent,Better,,
28,Yes,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Laboratory Technician,High,Single,Yes,Excellent,Better,,
29,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Mid Level,Manufacturing Director,Low,Divorced,No,Excellent,Better,,
32,No,Travel_Rarely,Research & Development,College,Life Sciences,Male,Entry Level,Research Scientist,Medium,Divorced,Yes,Excellent,Good,,
22,No,Non-Travel,Research & Development,College,Medical,Male,Entry Level,Laboratory Technician,Very High,Divorced,Yes,Excellent,Good,,
53,No,Travel_Rarely,Sales,Master,Life Sciences,Female,Senior Level,Manager,Very High,Married,No,Excellent,Better,,
38,No,Travel_Rarely,Research & Development,Bachelor,Life Sciences,Male,Entry Level,Research Scientist,Very High,Single,Yes,Excellent,Better,,
24,No,Non-Travel,Research & Development,College,Other,Female,Junior Level,Manufacturing Director,High,Divorced,No,Excellent,Good,,
36,Yes,Travel_Rarely,Sales,Master,Life Sciences,Male,Entry Level,Sales Representative,Low,Single,No,Outstanding,Better,,
34,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,Mid Level,Research Director,Medium,Single,No,Excellent,Better,,
21,No,Travel_Rarely,Research & Development,College,Life Sciences,Male,Entry Level,Research Scientist,Very High,Single,No,Excellent,Better,,
34,Yes,Travel_Rarely,Research & Development,Below College,Medical,Male,Entry Level,Research Scientist,Low,Single,No,Excellent,Better,,
53,No,Travel_Rarely,Research & Development,Bachelor,Other,Female,Executive Level,Manager,High,Divorced,No,Excellent,Good,,
32,Yes,Travel_Frequently,Research & Development,Below College,Life Sciences,Female,Entry Level,Research Scientist,Low,Single,Yes,Outstanding,Better,,
